Category,Average Value
Type,
Daily Driving Distance,506.96974311885106
Annual Kilometers Driven,111533.34348614725
Public Fast Charging Ratio,1.0
Daily Range,2164.775969775814
Daily Battery Capacity,800.0
Daily Time,7.328636363636364
Charger Cost per km,0.0
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,4.9134931880410155
Road Tax per km,0.07750169475357986
Truck Financing Cost per km,0.7222366610720171
Battery Financing Cost per km,0.0
Total Cost per km,11.235145502103494
Total Cost per month,104424.63110726867
Total Cost per year,1253095.573287224
TCO,6625712.4753553495
TCO per km,8.48650766370872
Battery Replacements,0.0
Battery Replacement Cost,0.0
TCO_financing_frac,0.06552184965687072
TCO_maintenance_frac,0.08890616534000388
TCO_driver_frac,0.44575176143632694
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.4190760528765021
TCO_electricity_frac,0.0
TCO_residual_frac,-0.019255829309703713
