Category,Average Value
Type,Electric 18t 180kwh
Type,
Daily Driving Distance,52.048037376375405
Annual Kilometers Driven,11450.56822280259
Public Fast Charging Ratio,0.0
Daily Range,169.25156879446834
Daily Battery Capacity,144.0
Daily Time,7.491181818181819
Charger Cost per km,2.3079549736661993
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,48.92109319795115
Road Tax per km,0.18873357489836573
Truck Financing Cost per km,8.723517378570884
Battery Financing Cost per km,3.582369438353631
Total Cost per km,65.36573951003417
Total Cost per month,62372.43191730168
Total Cost per year,748469.1830076204
TCO,4031557.74593399
TCO per km,44.01056958884059
Battery Replacements,0.0
Battery Replacement Cost,360000.0
TCO_financing_frac,0.208706550417472
TCO_maintenance_frac,0.01662074132749142
TCO_driver_frac,0.829693276172101
TCO_battery_frac,0.0
TCO_Charging_frac,0.039142778176329836
TCO_diesel_frac,0.0
TCO_electricity_frac,0.014429593746922195
TCO_residual_frac,-0.10859293984031654
Lifespan,8.0
