Category,Average Value
Type,Electric 18t 250kwh
Type,
Daily Driving Distance,110.03148469448101
Annual Kilometers Driven,24206.92663278582
Public Fast Charging Ratio,0.0
Daily Range,235.07162332565042
Daily Battery Capacity,200.0
Daily Time,7.35409090909091
Charger Cost per km,1.6617275810396628
Maintenance Cost per km,0.9799999999999998
Driver Cost per km,22.717604853028856
Road Tax per km,0.0892741200934962
Truck Financing Cost per km,4.126368816526784
Battery Financing Cost per km,2.353500457155852
Total Cost per km,32.690006229243465
Total Cost per month,65943.46821953771
Total Cost per year,791321.6186344523
TCO,4246339.433629613
TCO per km,21.927317624229875
Battery Replacements,0.0
Battery Replacement Cost,500000.0
TCO_financing_frac,0.22057739060488304
TCO_maintenance_frac,0.03335963366592278
TCO_driver_frac,0.7733130176832549
TCO_battery_frac,0.0
TCO_Charging_frac,0.05656594220004409
TCO_diesel_frac,0.0
TCO_electricity_frac,0.028961762406422554
TCO_residual_frac,-0.11277774656052744
Lifespan,8.0
