Category,Value
Type,Distribution
Daily Driving Distance,160.5427903722886
Annual Kilometers Driven,35319.41388190349
Public Fast Charging Ratio,0.0
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,5.913636363636364
Charger Cost per km,1.5504225954296853
Maintenance Cost per km,1.4
Driver Cost per km,12.520306862356337
Road Tax per km,0.06118448078514761
Truck Financing Cost per km,5.412912805107402
Battery Financing Cost per km,10.371156301265142
Total Cost per km,31.254798564158566
Total Cost per month,91991.76385691995
Total Cost per year,1103901.1662830394
TCO,4290174.264731684
TCO per km,17.352554033543363
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
