Category,Value
Type,Distribution
Daily Driving Distance,157.08096108199692
Annual Kilometers Driven,34557.81143803932
Public Fast Charging Ratio,0.0
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,5.75
Charger Cost per km,1.5504225954296853
Maintenance Cost per km,1.4
Driver Cost per km,12.442150764406017
Road Tax per km,0.06253289517117079
Truck Financing Cost per km,5.532205302208524
Battery Financing Cost per km,10.599721064369508
Total Cost per km,31.524499726413733
Total Cost per month,90784.80976866068
Total Cost per year,1089417.717223928
TCO,4206976.159351988
TCO per km,17.39104906196685
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
