Category,Value
Type,Distribution
Daily Driving Distance,158.28399723812512
Annual Kilometers Driven,34822.479392387526
Public Fast Charging Ratio,0.0
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,5.840909090909091
Charger Cost per km,1.5504225954296853
Maintenance Cost per km,1.4
Driver Cost per km,12.542803028996312
Road Tax per km,0.06205761444064239
Truck Financing Cost per km,5.490157823513199
Battery Financing Cost per km,10.51915797582098
Total Cost per km,31.502541423760178
Total Cost per month,91416.38329472694
Total Cost per year,1096996.5995367232
TCO,4249608.083030521
TCO per km,17.433763465362958
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
