Category,Value
Type,Distribution
Daily Driving Distance,160.46757962360908
Annual Kilometers Driven,35302.867517194
Public Fast Charging Ratio,0.0
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,5.909090909090909
Charger Cost per km,1.5504225954296853
Maintenance Cost per km,1.4
Driver Cost per km,12.516546985447867
Road Tax per km,0.0612131577965303
Truck Financing Cost per km,5.41544982364762
Battery Financing Cost per km,10.376017235990524
Total Cost per km,31.258436640515693
Total Cost per month,91959.37062622735
Total Cost per year,1103512.4475147282
TCO,4287967.620185928
TCO per km,17.35175768895708
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
