Category,Value
Type,Distribution
Daily Driving Distance,156.526665918543
Annual Kilometers Driven,34435.86650207946
Public Fast Charging Ratio,0.0
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,5.754545454545455
Charger Cost per km,1.5504225954296853
Maintenance Cost per km,1.4
Driver Cost per km,12.496081664563745
Road Tax per km,0.0627543378317344
Truck Financing Cost per km,5.551796051326276
Battery Financing Cost per km,10.637256995295159
Total Cost per km,31.635557306614864
Total Cost per month,90783.15234412282
Total Cost per year,1089397.8281294738
TCO,4206045.554083472
TCO per km,17.448773956278092
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
