Category,Value
Type,Long Range Traffic
Daily Driving Distance,320.0486683301153
Annual Kilometers Driven,70410.70703262536
Public Fast Charging Ratio,0.32515337423312884
Daily Range,324.88879577246587
Daily Battery Capacity,419.20000000000005
Daily Time,7.3
Charger Cost per km,2.816453699124046
Maintenance Cost per km,1.4
Driver Cost per km,7.752789639607828
Road Tax per km,0.030691354924169183
Truck Financing Cost per km,2.7152249384693485
Battery Financing Cost per km,5.202378690339886
Total Cost per km,19.88684696754111
Total Cost per month,116687.24630284926
Total Cost per year,1400246.9556341912
TCO,6165414.144243116
TCO per km,12.509084005781599
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
