Category,Value
Type,Long Range Traffic
Daily Driving Distance,237.4722442828054
Annual Kilometers Driven,52243.89374221719
Public Fast Charging Ratio,0.0
Daily Range,396.6350761438378
Daily Battery Capacity,440.0
Daily Time,7.4
Charger Cost per km,1.1255398180333303
Maintenance Cost per km,0.98
Driver Cost per km,10.59180624496301
Road Tax per km,0.04136368569048179
Truck Financing Cost per km,0.42434481819437264
Battery Financing Cost per km,2.678316828801158
Total Cost per km,16.909339754645522
Total Cost per month,73617.47911606246
Total Cost per year,883409.7493927495
TCO,4179877.5154176443
TCO per km,11.42957227291911
Battery Replacements,0.0
Battery Replacement Cost,1100000.0
TCO_financing_frac,0.20899596655040306
TCO_maintenance_frac,0.06601301415438873
TCO_driver_frac,0.7134663832339655
TCO_battery_frac,0.0
TCO_Charging_frac,0.07581660810118607
TCO_diesel_frac,0.0
TCO_electricity_frac,0.07472484894452902
TCO_residual_frac,-0.13901682098447254
