Category,Value
Type,Regional Distribution
Daily Driving Distance,159.8631926059622
Annual Kilometers Driven,35169.902373311685
Public Fast Charging Ratio,0.0
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,5.85
Charger Cost per km,1.5504225954296853
Maintenance Cost per km,1.4
Driver Cost per km,12.438229010608666
Road Tax per km,0.0614445834128858
Truck Financing Cost per km,5.435923752103423
Battery Financing Cost per km,10.415245341035131
Total Cost per km,31.239820699176907
Total Cost per month,91558.45367915112
Total Cost per year,1098701.4441498134
TCO,4261141.9050601795
TCO per km,17.3083948713964
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
