Category,Value
Type,Regional Distribution
Daily Driving Distance,328.79205413599175
Annual Kilometers Driven,72334.25190991818
Public Fast Charging Ratio,0.2739273927392739
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,7.422727272727273
Charger Cost per km,2.425245284468944
Maintenance Cost per km,1.4
Driver Cost per km,7.6734974834777105
Road Tax per km,0.02987519664530729
Truck Financing Cost per km,3.3037755735058196
Battery Financing Cost per km,1.842986231920209
Total Cost per km,16.645504573372683
Total Cost per month,100336.67674816957
Total Cost per year,1204040.1209780348
TCO,5930043.533473592
TCO per km,11.711589652790138
Battery Replacements,0.0
Battery Replacement Cost,786000.0
