Category,Value
Type,Regional Distribution
Daily Driving Distance,331.6566624822783
Annual Kilometers Driven,72964.46574610122
Public Fast Charging Ratio,0.2857142857142857
Daily Range,353.4530933392316
Daily Battery Capacity,419.20000000000005
Daily Time,7.45
Charger Cost per km,2.4628882573191704
Maintenance Cost per km,1.4
Driver Cost per km,7.635170000950329
Road Tax per km,0.02961715648710099
Truck Financing Cost per km,3.275239969814674
Battery Financing Cost per km,1.8270678610889524
Total Cost per km,16.600366089173125
Total Cost per month,100936.40357385106
Total Cost per year,1211236.8428862127
TCO,5970108.400225044
TCO per km,11.688876494640134
Battery Replacements,0.0
Battery Replacement Cost,786000.0
