Category,Value
Type,Regional Distribution (diesel)
Daily Driving Distance,110.3498861749764
Annual Kilometers Driven,24276.974958494808
Public Fast Charging Ratio,1
Daily Range,3273.7125964245583
Daily Battery Capacity,800
Daily Time,7.372727272727273
Charger Cost per km,0
Maintenance Cost per km,0.98
Driver Cost per km,22.709493293236157
Road Tax per km,0.35605754072648
Truck Financing Cost per km,6.635794540779334
Battery Financing Cost per km,0.0
Total Cost per km,33.379923726891874
Total Cost per month,67530.29770285172
Total Cost per year,810363.5724342207
TCO,4052907.4858547184
TCO per km,23.84921452048278
Battery Replacements,0.0
Battery Replacement Cost,0
TCO_financing_frac,0.21421620261884564
TCO_maintenance_frac,0.03163628368484921
TCO_driver_frac,0.7331060940448976
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.09860951802138775
TCO_electricity_frac,0.0
TCO_residual_frac,-0.07756809836997995
