Category,Value
Type,Regional Distribution (diesel)
Daily Driving Distance,493.06115712862123
Annual Kilometers Driven,108473.45456829667
Public Fast Charging Ratio,1
Daily Range,2328.454321506616
Daily Battery Capacity,800
Daily Time,7.627272727272727
Charger Cost per km,5.1536334164526165
Maintenance Cost per km,1.4
Driver Cost per km,5.257988715026097
Road Tax per km,0.07968769902647099
Truck Financing Cost per km,1.7624672177271987
Battery Financing Cost per km,0.0
Total Cost per km,13.574089349205913
Total Cost per month,122702.36369392394
Total Cost per year,1472428.3643270873
TCO,7728993.800141276
TCO per km,10.178914056374666
Battery Replacements,0.0
Battery Replacement Cost,0
