Category,Value
Type,Regional Distribution (diesel)
Daily Driving Distance,111.23836603497539
Annual Kilometers Driven,24472.440527694584
Public Fast Charging Ratio,1
Daily Range,3273.7125964245583
Daily Battery Capacity,800
Daily Time,7.409090909090909
Charger Cost per km,3.054635892876385
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,22.639221428407037
Road Tax per km,0.35321364823495616
Truck Financing Cost per km,6.5827933145412585
Battery Financing Cost per km,0.0
Total Cost per km,33.25665063582468
Total Cost per month,67822.61706962797
Total Cost per year,813871.4048355357
TCO,4071959.1804191866
TCO per km,23.769940463735093
Battery Replacements,0.0
Battery Replacement Cost,0
