Category,Value
Type,Regional Distribution (diesel)
Daily Driving Distance,109.14579955951297
Annual Kilometers Driven,24012.075903092853
Public Fast Charging Ratio,1
Daily Range,3273.7125964245583
Daily Battery Capacity,800
Daily Time,7.290909090909091
Charger Cost per km,3.054635892876385
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,22.705225579008605
Road Tax per km,0.3599855353983209
Truck Financing Cost per km,6.709000027584724
Battery Financing Cost per km,0.0
Total Cost per km,33.448861499469714
Total Cost per month,66931.38343310892
Total Cost per year,803176.601197307
TCO,4013975.5306001077
TCO per km,23.8806956180809
Battery Replacements,0.0
Battery Replacement Cost,0
