Category,Value
Type,Regional Distribution (diesel)
Daily Driving Distance,112.08386541555723
Annual Kilometers Driven,24658.45039142259
Public Fast Charging Ratio,1
Daily Range,3273.7125964245583
Daily Battery Capacity,800
Daily Time,7.509090909090909
Charger Cost per km,3.054635892876385
Maintenance Cost per km,1.4
Driver Cost per km,22.771698589596777
Road Tax per km,0.35054919764977627
Truck Financing Cost per km,6.533136321991014
Battery Financing Cost per km,0.0
Total Cost per km,33.75947080446418
Total Cost per month,69371.3530060466
Total Cost per year,832456.2360725591
TCO,4172258.011467945
TCO per km,24.171707845374808
Battery Replacements,0.0
Battery Replacement Cost,0
