Category,Value
Type,Regional Distribution (diesel)
Daily Driving Distance,109.83304751326384
Annual Kilometers Driven,24163.270452918045
Public Fast Charging Ratio,1
Daily Range,3273.7125964245583
Daily Battery Capacity,800
Daily Time,7.322727272727272
Charger Cost per km,3.054635892876385
Maintenance Cost per km,0.9799999999999998
Driver Cost per km,22.661621946704333
Road Tax per km,0.35773303191067496
Truck Financing Cost per km,6.667020435421306
Battery Financing Cost per km,0.0
Total Cost per km,33.363278275002024
Total Cost per month,67180.49301290324
Total Cost per year,806165.9161548389
TCO,4030199.5753051355
TCO per km,23.82718835987011
Battery Replacements,0.0
Battery Replacement Cost,0
