Category,Value
<<<<<<< HEAD
Type,Diesel 72t
Daily Driving Distance,507.59425361890976
Annual Kilometers Driven,111670.73579616015
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.331818181818182
Charger Cost per km,4.619415652990463
Maintenance Cost per km,0.98
Driver Cost per km,4.909600497311777
Road Tax per km,0.07740613454699945
Truck Financing Cost per km,0.38669433743083886
Battery Financing Cost per km,0.0
Total Cost per km,10.895710487733078
Total Cost per month,101394.33393225765
Total Cost per year,1216732.0071870917
TCO,11470515.533142809
TCO per km,6.419830725661582
Battery Replacements,0.0
Battery Replacement Cost,0
Lifespan,16.0
=======
Type,Nomadic (diesel)
Daily Driving Distance,506.7276141173182
Annual Kilometers Driven,111480.07510581
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.318181818181818
Charger Cost per km,0
Maintenance Cost per km,0.98
Driver Cost per km,4.9088502988591864
Road Tax per km,0.07753851970224858
Truck Financing Cost per km,0.7225798319930558
Battery Financing Cost per km,0.0
Total Cost per km,11.230845783842705
Total Cost per month,104334.62762371286
Total Cost per year,1252015.5314845543
TCO,6619875.570478949
TCO per km,8.483098967872282
Battery Replacements,0.0
Battery Replacement Cost,0
TCO_financing_frac,0.06557899663038573
TCO_maintenance_frac,0.08894161427189631
TCO_driver_frac,0.44551129571389464
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.4192431481324875
TCO_electricity_frac,0.0
TCO_residual_frac,-0.019275054748664068
>>>>>>> a3e735532e2914bcc313a076f207462e780f45b4
