Category,Value
Type,Diesel 72t
Daily Driving Distance,506.74573816802746
Annual Kilometers Driven,111484.06239696604
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.281818181818182
Charger Cost per km,4.619415652990463
Maintenance Cost per km,0.98
Driver Cost per km,4.884283800684488
Road Tax per km,0.07753574649281206
Truck Financing Cost per km,0.38734183398653754
Battery Financing Cost per km,0.0
Total Cost per km,10.87104128766149
Total Cost per month,100995.65376947062
Total Cost per year,1211947.8452336474
TCO,11425297.211915547
TCO per km,6.405230132375898
Battery Replacements,0.0
Battery Replacement Cost,0
Lifespan,16.0
