Category,Value
<<<<<<< HEAD
Type,Diesel 72t
Daily Driving Distance,506.42129404028134
Annual Kilometers Driven,111412.68468886189
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.327272727272727
Charger Cost per km,4.619415652990463
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,4.91792116427454
Road Tax per km,0.07758542058419812
Truck Financing Cost per km,0.38758998860591526
Battery Financing Cost per km,0.0
Total Cost per km,10.904926805870918
Total Cost per month,101245.59764813453
Total Cost per year,1214947.1717776144
TCO,11453621.60320857
TCO per km,6.425223054265925
Battery Replacements,0.0
Battery Replacement Cost,0
Lifespan,16.0
=======
Type,Nomadic (diesel)
Daily Driving Distance,507.27429033018126
Annual Kilometers Driven,111600.34387263987
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.368181818181818
Charger Cost per km,0
Maintenance Cost per km,0.98
Driver Cost per km,4.9370627444372825
Road Tax per km,0.07745495847095842
Truck Financing Cost per km,0.721801126638625
Battery Financing Cost per km,0.0
Total Cost per km,11.25827952406637
Total Cost per month,104702.32219167562
Total Cost per year,1256427.8663001074
TCO,6643691.626633971
TCO per km,8.504443363436048
Battery Replacements,0.0
Battery Replacement Cost,0
TCO_financing_frac,0.06534391150691642
TCO_maintenance_frac,0.08871838919813531
TCO_driver_frac,0.44694719801693966
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.4181909344591492
TCO_electricity_frac,0.0
TCO_residual_frac,-0.01920043318114077
>>>>>>> a3e735532e2914bcc313a076f207462e780f45b4
