Category,Value
Type,Nomadic (diesel)
Daily Driving Distance,692.5845242145169
Annual Kilometers Driven,152368.59532719373
Public Fast Charging Ratio,0.5918367346938775
Daily Range,372.0
Daily Battery Capacity,419.20000000000005
Daily Time,9.013636363636364
Charger Cost per km,3.2689945823323043
Maintenance Cost per km,1.4
Driver Cost per km,4.423626132095116
Road Tax per km,0.014182712621058855
Truck Financing Cost per km,1.254726456325891
Battery Financing Cost per km,2.40405945235435
Total Cost per km,12.75140662310766
Total Cost per month,161909.4929673991
Total Cost per year,1942913.915608789
