Category,Value
<<<<<<< HEAD
Type,Diesel 72t
Daily Driving Distance,506.5262757381153
Annual Kilometers Driven,111435.78066238537
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.331818181818182
Charger Cost per km,4.619415652990463
Maintenance Cost per km,0.98
Driver Cost per km,4.919952072315514
Road Tax per km,0.07756934037361432
Truck Financing Cost per km,0.3875096574226849
Battery Financing Cost per km,0.0
Total Cost per km,10.906877382728661
Total Cost per month,101284.69964444025
Total Cost per year,1215416.395733283
TCO,11458057.1719175
TCO per km,6.426379112598344
Battery Replacements,0.0
Battery Replacement Cost,0
Lifespan,16.0
=======
Type,Nomadic (diesel)
Daily Driving Distance,506.09607096352676
Annual Kilometers Driven,111341.13561197589
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.3136363636363635
Charger Cost per km,0
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,4.911923135991217
Road Tax per km,0.0776352778556558
Truck Financing Cost per km,0.7234815191867424
Battery Financing Cost per km,0.0
Total Cost per km,11.234820308168423
Total Cost per month,104241.47095899675
Total Cost per year,1250897.651507961
TCO,6613808.573281066
TCO per km,8.48590048044546
Battery Replacements,0.0
Battery Replacement Cost,0
TCO_financing_frac,0.06563915373720068
TCO_maintenance_frac,0.0889122513243534
TCO_driver_frac,0.4456430044419972
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.41910474031667366
TCO_electricity_frac,0.0
TCO_residual_frac,-0.01929914982022508
>>>>>>> a3e735532e2914bcc313a076f207462e780f45b4
