Category,Value
Type,Nomadic (diesel)
Daily Driving Distance,506.96246035674955
Annual Kilometers Driven,111531.7412784849
Public Fast Charging Ratio,1
Daily Range,2164.7759697758133
Daily Battery Capacity,800
Daily Time,7.3090909090909095
Charger Cost per km,4.619415652990463
Maintenance Cost per km,1.3999999999999997
Driver Cost per km,4.900481187999118
Road Tax per km,0.07750260061318953
Truck Financing Cost per km,0.7222451027586404
Battery Financing Cost per km,0.0
Total Cost per km,11.642141943748221
Total Cost per month,108205.696933127
Total Cost per year,1298468.3631975239
TCO,6870239.094289588
TCO per km,8.799851203838285
Battery Replacements,0.0
Battery Replacement Cost,0
