Category,Value
Type,Long Range Traffic (diesel)
Daily Driving Distance,504.10340025794807
Annual Kilometers Driven,110902.74805674858
Public Fast Charging Ratio,1
Daily Range,2136.549425234357
Daily Battery Capacity,800
Daily Time,7.5590909090909095
Charger Cost per km,5.616532834799142
Maintenance Cost per km,1.4
Driver Cost per km,5.096841240676574
Road Tax per km,0.07794216240319755
Truck Financing Cost per km,1.723860869276358
Battery Financing Cost per km,0.0
Total Cost per km,13.837234944752074
Total Cost per month,127882.28173998972
Total Cost per year,1534587.3808798767
TCO,8064205.923526814
TCO per km,10.387744558477468
Battery Replacements,0.0
Battery Replacement Cost,0
