Category,Value
Type,Long Range Traffic (diesel)
Daily Driving Distance,283.6120604001176
Annual Kilometers Driven,62394.653288025875
Public Fast Charging Ratio,1
Daily Range,2493.129338937421
Daily Battery Capacity,800
Daily Time,8.963636363636363
Charger Cost per km,0
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,10.742632015372278
Road Tax per km,0.1385375115412151
Truck Financing Cost per km,0.8218681834625815
Battery Financing Cost per km,0.0
Total Cost per km,16.5555235516233
Total Cost per month,86081.3460004402
Total Cost per year,1032976.1520052825
TCO,5475657.2542841
TCO per km,12.53691958189201
Battery Replacements,0.0
Battery Replacement Cost,0
TCO_financing_frac,0.05047133516052064
TCO_maintenance_frac,0.060182288902977284
TCO_driver_frac,0.6597103913545996
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.24631894511643107
TCO_electricity_frac,0.0
TCO_residual_frac,-0.01668296053452864
