Category,Value
Type,Long Range Traffic (diesel)
Daily Driving Distance,284.3985931183361
Annual Kilometers Driven,62567.69048603394
Public Fast Charging Ratio,1
Daily Range,2493.129338937421
Daily Battery Capacity,800
Daily Time,8.977272727272727
Charger Cost per km,4.011023352788439
Maintenance Cost per km,1.4
Driver Cost per km,10.729219742413937
Road Tax per km,0.13815437221435353
Truck Financing Cost per km,0.8195952249037214
Battery Financing Cost per km,0.0
Total Cost per km,16.959838320106098
Total Cost per month,88428.15955879801
Total Cost per year,1061137.9147055761
TCO,5627466.950414104
TCO per km,12.848865665556342
Battery Replacements,0.0
Battery Replacement Cost,0
