Category,Value
Type,Long Range Traffic (diesel)
Daily Driving Distance,283.8041582538786
Annual Kilometers Driven,62436.91481585329
Public Fast Charging Ratio,1
Daily Range,2493.129338937421
Daily Battery Capacity,800
Daily Time,8.959090909090909
Charger Cost per km,4.011023352788439
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,10.729916780415541
Road Tax per km,0.13844373998129086
Truck Financing Cost per km,0.8213118874763319
Battery Financing Cost per km,0.0
Total Cost per km,16.542252020680312
Total Cost per month,86070.59835646614
Total Cost per year,1032847.1802775937
TCO,5474971.423479771
TCO per km,12.526864549435304
Battery Replacements,0.0
Battery Replacement Cost,0
