Category,Value
Type,Long Range Traffic (diesel)
Daily Driving Distance,283.6892168442591
Annual Kilometers Driven,62411.627705737
Public Fast Charging Ratio,1
Daily Range,2493.129338937421
Daily Battery Capacity,800
Daily Time,8.959090909090909
Charger Cost per km,4.011023352788439
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,10.734264184851845
Road Tax per km,0.13849983276762748
Truck Financing Cost per km,0.8216446556623557
Battery Financing Cost per km,0.0
Total Cost per km,16.54693219330264
Total Cost per month,86060.08097670657
Total Cost per year,1032720.9717204787
TCO,5474285.723310637
TCO per km,12.530370483254014
Battery Replacements,0.0
Battery Replacement Cost,0
