Category,Value
Type,Nomadic
Daily Driving Distance,506.7065209715709
Annual Kilometers Driven,111475.4346137456
Public Fast Charging Ratio,1
Daily Range,345.42567697195886
Daily Battery Capacity,440.0
Daily Time,7.322727272727272
Charger Cost per km,5.0951626278288344
Maintenance Cost per km,0.98
Driver Cost per km,4.912103746420201
Road Tax per km,0.01938543686766246
Truck Financing Cost per km,0.31231323693911933
Battery Financing Cost per km,1.2552155575505253
Total Cost per km,12.554795168738679
Total Cost per month,116629.27066014148
Total Cost per year,1399551.2479216978
TCO,7170903.522401425
TCO per km,9.18960121092161
Battery Replacements,0.0
Battery Replacement Cost,1100000.0
TCO_financing_frac,0.13132648717400475
TCO_maintenance_frac,0.0821037277802777
TCO_driver_frac,0.4115326824740474
TCO_battery_frac,0.0
TCO_Charging_frac,0.4268692299913297
TCO_diesel_frac,0.0
TCO_electricity_frac,0.0
TCO_residual_frac,-0.05183212741965948
