Category,Value
Type,Nomadic
Daily Driving Distance,508.6481264931556
Annual Kilometers Driven,111902.58782849423
Public Fast Charging Ratio,1
Daily Range,345.42567697195886
Daily Battery Capacity,440.0
Daily Time,7.418181818181818
Charger Cost per km,5.0951626278288344
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,4.957140051579308
Road Tax per km,0.019311439010794133
Truck Financing Cost per km,0.3111210786007299
Battery Financing Cost per km,1.2504241637944493
Total Cost per km,12.593847921803322
Total Cost per month,117440.34776402464
Total Cost per year,1409284.1731682958
TCO,7224914.601990512
TCO per km,9.223474429466235
Battery Replacements,0.0
Battery Replacement Cost,1100000.0
