Category,Value
Type,Nomadic
Daily Driving Distance,311.43334959727673
Annual Kilometers Driven,68515.33691140088
Public Fast Charging Ratio,1
Daily Range,324.88879577246587
Daily Battery Capacity,419.20000000000005
Daily Time,7.068181818181818
Charger Cost per km,5.161150590044779
Maintenance Cost per km,1.4
Driver Cost per km,7.714250908281686
Road Tax per km,0.031540383473476166
Truck Financing Cost per km,2.790337408943416
Battery Financing Cost per km,5.346294397004454
Total Cost per km,22.412033304274335
Total Cost per month,127964.00105932444
Total Cost per year,1535568.0127118933
TCO,6880793.242787929
TCO per km,14.346721589160765
Battery Replacements,0.0
Battery Replacement Cost,2699648.0
