Category,Value
Type,Nomadic
Daily Driving Distance,506.8316655692172
Annual Kilometers Driven,111502.96642522779
Public Fast Charging Ratio,1
Daily Range,345.42567697195886
Daily Battery Capacity,440.0
Daily Time,7.372727272727273
Charger Cost per km,5.0951626278288344
Maintenance Cost per km,0.98
Driver Cost per km,4.944422715154447
Road Tax per km,0.019380650302690684
Truck Financing Cost per km,0.3122361219578909
Battery Financing Cost per km,1.2549056253647912
Total Cost per km,12.586727090305965
Total Cost per month,116954.78401282425
Total Cost per year,1403457.408153891
TCO,7192055.341896669
TCO per km,9.214431780187601
Battery Replacements,0.0
Battery Replacement Cost,1100000.0
