Category,Value
Type,Nomadic
Daily Driving Distance,692.4906437010591
Annual Kilometers Driven,152347.941614233
Public Fast Charging Ratio,1
Daily Range,324.88879577246587
Daily Battery Capacity,419.20000000000005
Daily Time,8.445454545454545
Charger Cost per km,5.161150590044779
Maintenance Cost per km,1.4
Driver Cost per km,4.145341205850591
Road Tax per km,0.014184635362333706
Truck Financing Cost per km,1.568620698485881
Battery Financing Cost per km,0.8750432001489727
Total Cost per km,13.150155694530223
Total Cost per month,166949.929330697
Total Cost per year,2003399.151968364
TCO,10628757.411456138
TCO per km,9.966619173412255
Battery Replacements,0.0
Battery Replacement Cost,786000.0
