Category,Value
Type,Nomadic
Daily Driving Distance,506.5649926987222
Annual Kilometers Driven,111444.29839371888
Public Fast Charging Ratio,1
Daily Range,345.42567697195886
Daily Battery Capacity,440.0
Daily Time,7.3090909090909095
Charger Cost per km,5.0951626278288344
Maintenance Cost per km,1.4000000000000001
Driver Cost per km,4.904326267720526
Road Tax per km,0.019390852929644323
Truck Financing Cost per km,0.41653399142252584
Battery Financing Cost per km,1.6740883332591217
Total Cost per km,13.49011122023101
Total Cost per month,125282.9983493233
Total Cost per year,1503395.9801918797
TCO,7730439.302445693
TCO per km,9.90942100847932
Battery Replacements,0.0
Battery Replacement Cost,1100000.0
