Category,Value
Type,Distribution (diesel)
Daily Driving Distance,52.017288264409316
Annual Kilometers Driven,11443.80341817005
Public Fast Charging Ratio,1
Daily Range,3273.7125964245583
Daily Battery Capacity,800
Daily Time,7.490909090909091
Charger Cost per km,0
Maintenance Cost per km,0.9799999999999999
Driver Cost per km,48.94834169473815
Road Tax per km,0.7553432791649825
Truck Financing Cost per km,14.077226950651086
Battery Financing Cost per km,0.0
Total Cost per km,67.06020453826562
Total Cost per month,63951.983159848896
Total Cost per year,767423.7979181868
TCO,3811691.4137462554
TCO per km,47.58272445997396
Battery Replacements,0.0
Battery Replacement Cost,0
TCO_financing_frac,0.2277724917747202
TCO_maintenance_frac,0.015856606043344476
TCO_driver_frac,0.7919944599270157
TCO_battery_frac,0.0
TCO_Charging_frac,0.0
TCO_diesel_frac,0.04942465097877617
TCO_electricity_frac,0.0
TCO_residual_frac,-0.08504820872385659
