Category,Value
Type,Distribution (diesel)
Daily Driving Distance,160.5745077100105
Annual Kilometers Driven,35326.39169620231
Public Fast Charging Ratio,1
Daily Range,2328.454321506616
Daily Battery Capacity,800
Daily Time,5.963636363636364
Charger Cost per km,5.1536334164526165
Maintenance Cost per km,1.4
Driver Cost per km,12.62367251756258
Road Tax per km,0.2446895814986181
Truck Financing Cost per km,5.41184362428943
Battery Financing Cost per km,0.0
Total Cost per km,24.589149558304626
Total Cost per month,72387.16073109744
Total Cost per year,868645.9287731692
TCO,4468325.1797823245
TCO per km,18.069554740541324
Battery Replacements,0.0
Battery Replacement Cost,0
