Category,Value
Type,Distribution (diesel)
Daily Driving Distance,161.47315993137562
Annual Kilometers Driven,35524.09518490264
Public Fast Charging Ratio,1
Daily Range,2328.454321506616
Daily Battery Capacity,800
Daily Time,5.931818181818182
Charger Cost per km,5.1536334164526165
Maintenance Cost per km,1.4
Driver Cost per km,12.48644047628023
Road Tax per km,0.24332780201742077
Truck Financing Cost per km,5.381724901792667
Battery Financing Cost per km,0.0
Total Cost per km,24.421798794525515
Total Cost per month,72296.85874693874
Total Cost per year,867562.3049632648
TCO,4462503.645278538
TCO per km,17.945580807502388
Battery Replacements,0.0
Battery Replacement Cost,0
